championship,Team Home,Team Away,Home Score,Away Score
UEFA Women's Champions League,Wolfsburg,Lyonnes,1,0
UEFA Women's Champions League,Arsenal,Chelsea,3,1
League One,Doncaster,Port Vale,1,0
League Two,Cambridge Utd,Grimsby,P,P
League Two,Oldham,Notts Co,3,0
National League,Aldershot,Boreham Wood,1,2
National League,Boston,Altrincham,2,2
National League,Brackley,Braintree,1,1
National League,Eastleigh,Sutton,0,2
National League,Gateshead,York,3,1
National League,Halifax,Carlisle,0,1
Scottish Championship,Raith Rovers,Partick,0,2
Scottish League Two,Elgin,Forfar,2,0
Scottish League Two,Stranraer,Clyde,3,1
"Alfreton Town 0 , Macclesfield 2 at Full timeAlfretonAlfreton TownAlfreton Town02MacclesfieldMacclesfieldMacclesfieldFull timeFT",Alfreton,Macclesfield,0,2
"Alfreton Town 0 , Macclesfield 2 at Full timeAlfretonAlfreton TownAlfreton Town02MacclesfieldMacclesfieldMacclesfieldFull timeFT",Darlington,Kidderminster,0,2
"Alfreton Town 0 , Macclesfield 2 at Full timeAlfretonAlfreton TownAlfreton Town02MacclesfieldMacclesfieldMacclesfieldFull timeFT",Hereford,Spennymoor,1,2
"Alfreton Town 0 , Macclesfield 2 at Full timeAlfretonAlfreton TownAlfreton Town02MacclesfieldMacclesfieldMacclesfieldFull timeFT",Leamington,King's Lynn,2,5
"Bath City 0 , Hemel Hempstead Town 3 at Full timeBathBath CityBath City03Hemel HHemel Hempstead TownHemel Hempstead TownFull timeFT",Bath,Hemel H,0,3
"Bath City 0 , Hemel Hempstead Town 3 at Full timeBathBath CityBath City03Hemel HHemel Hempstead TownHemel Hempstead TownFull timeFT",Chesham,Hornchurch,1,2
"Bath City 0 , Hemel Hempstead Town 3 at Full timeBathBath CityBath City03Hemel HHemel Hempstead TownHemel Hempstead TownFull timeFT",Enfield T,Dover,3,1
"Bath City 0 , Hemel Hempstead Town 3 at Full timeBathBath CityBath City03Hemel HHemel Hempstead TownHemel Hempstead TownFull timeFT",Torquay,Dorking,2,2
"Bath City 0 , Hemel Hempstead Town 3 at Full timeBathBath CityBath City03Hemel HHemel Hempstead TownHemel Hempstead TownFull timeFT",Weston-s-Mare,Worthing,2,3
"Albion Rovers 2 , Gretna 2008 0 at Full timeAlbionAlbion RoversAlbion Rovers20GretnaGretna 2008Gretna 2008Full timeFT",Albion,Gretna,2,0
