case_id,activity,timestamp,resource,cost
1,Order Received,2026-01-14 09:49:00,User_A,2.32
1,Check Inventory,2026-01-14 11:32:00,System_Bot,4.94
1,Payment confirmed,2026-01-14 12:51:00,User_B,2.26
1,Pack Item,2026-01-14 13:46:00,System_Bot,2.71
1,Ship Order,2026-01-14 14:43:00,User_A,4.36
1,Deliver Order,2026-01-14 16:43:00,User_B,4.99
2,Order Received,2026-01-15 09:19:00,User_A,2.98
2,Check Inventory,2026-01-15 10:01:00,System_Bot,2.72
2,Payment confirmed,2026-01-15 11:54:00,User_A,4.84
2,Pack Item,2026-01-15 12:36:00,User_B,2.68
2,Ship Order,2026-01-15 13:38:00,System_Bot,2.22
2,Deliver Order,2026-01-15 14:32:00,System_Bot,2.42
3,Order Received,2026-01-16 09:55:00,User_A,2.21
3,Check Inventory,2026-01-16 11:02:00,System_Bot,3.18
3,Payment confirmed,2026-01-16 11:44:00,User_A,4.78
3,Pack Item,2026-01-16 13:35:00,User_B,3.37
3,Ship Order,2026-01-16 15:08:00,User_A,2.28
3,Deliver Order,2026-01-16 16:47:00,System_Bot,3.52
4,Order Received,2026-01-17 08:54:00,User_B,3.84
4,Check Inventory,2026-01-17 10:40:00,User_A,4.23
4,Payment confirmed,2026-01-17 12:04:00,User_A,2.31
4,Pack Item,2026-01-17 13:19:00,System_Bot,2.41
4,Ship Order,2026-01-17 15:01:00,System_Bot,4.4
4,Deliver Order,2026-01-17 16:06:00,User_A,2.42
5,Order Received,2026-01-18 09:48:00,User_A,4.46
5,Check Inventory,2026-01-18 10:21:00,User_B,4.21
5,Payment confirmed,2026-01-18 10:58:00,User_A,3.05
5,Pack Item,2026-01-18 12:39:00,User_B,3.05
5,Ship Order,2026-01-18 14:03:00,User_A,2.57
5,Deliver Order,2026-01-18 15:54:00,User_B,4.94
